Book	Author(s)	Original language	First published	Approximate sales
La sombra del viento (The Shadow of the Wind)	Carlos Ruiz Zafón	Spanish	2001	15
窓ぎわのトットちゃん (Totto-chan, the Little Girl at the Window)	Tetsuko Kuroyanagi	Japanese	1981	14.36
The Hitchhiker's Guide to the Galaxy	Douglas Adams	English	1979	14
Tuesdays with Morrie	Mitch Albom	English	1997	14
God's Little Acre	Erskine Caldwell	English	1933	14
Va' dove ti porta il cuore (Follow Your Heart)	Susanna Tamaro	Italian	1994	14
A Wrinkle in Time	Madeleine L'Engle	English	1962	14
The Old Man and the Sea	Ernest Hemingway	English	1952	13
The Outsiders	S. E. Hinton	English	1967	13
Life After Life	Raymond Moody	English	1975	13
ノルウェイの森 (Noruwei no Mori; Norwegian Wood)	Haruki Murakami	Japanese	1987	12
Peyton Place	Grace Metalious	English	1956	12
La Peste (The Plague)	Albert Camus	French	1947	12
人間失格 (Ningen Shikkaku; No Longer Human)	Osamu Dazai	Japanese	1948	12
The Naked Ape	Desmond Morris	English	1968	12
Ein Psychologe erlebt das Konzentrationslager (Man's Search for Meaning)	Viktor Frankl	German	1946	12
Divina Commedia (Divine Comedy)	Dante Alighieri	Italian	1304	11-12
Things Fall Apart	Chinua Achebe	English	1958	11
The Prophet	Khalil Gibran	English	1923	11
The Exorcist	William Peter Blatty	English	1971	11
The Girl on the Train	Paula Hawkins	English	2015	11
The Gruffalo	Julia Donaldson	English	1999	10.5
Catch-22	Joseph Heller	English	1961	10
Eye of the Needle	Ken Follett	English	1978	10
A Brief History of Time	Stephen Hawking	English	1988	10
The Cat in the Hat	Dr. Seuss	English	1957	10
The Lovely Bones	Alice Sebold	English	2002	10
Wild Swans	Jung Chang	English	1992	10
Santa Evita	Tomás Eloy Martínez	Spanish	1995	10
Un di Velt Hot Geshvign (Night)	Elie Wiesel	Yiddish	1958	10
The Kite Runner	Khaled Hosseini	English	2003	10
于丹《论语》心得 (Confucius from the Heart)	Yu Dan	Chinese	2006	10
The Total Woman	Marabel Morgan	English	1974	10
知価革命 (Knowledge-value Revolution)	Taichi Sakaiya	Japanese	1985	10
中国社会主义经济问题研究 (Problems in China's Socialist Economy)	Xue Muqiao	Chinese	1979	10
What Color is Your Parachute?	Richard Nelson Bolles	English	1970	10
The Dukan Diet	Pierre Dukan	French	2000	10
The Joy of Sex	Alex Comfort	English	1972	10
The Gospel According to Peanuts	Robert L. Short	English	1965	10
Life of Pi	Yann Martel	English	2001	10
The Giver	Lois Lowry	English	1993	10
The Front Runner	Patricia Nell Warren	English	1974	10
